127.0.0.1 - - [09/Aug/2016:09:22:02 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:22:04 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:22:04 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:13 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:13 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:14 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:36 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:36 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:37 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:37 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:38 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:23:38 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:25 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:25 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 200 86355
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:25 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:33 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:33 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 200 86355
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:33 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:50 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:50 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 200 86355
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:25:50 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:26:25 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:26:25 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:26:25 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 200 86355
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:27:38 -0300] "GET /ProjectPortal_ERM/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2016:09:27:40 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
