127.0.0.1 - - [07/Oct/2016:16:23:41 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Oct/2016:16:24:33 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [07/Oct/2016:16:24:33 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:16:24:33 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [07/Oct/2016:16:25:17 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [07/Oct/2016:16:25:17 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:16:25:17 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [07/Oct/2016:16:25:17 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:03:11 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:03:11 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:03:11 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:03:19 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:03:19 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:04:08 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:07:44 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:07:44 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:07:44 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:08:09 -0300] "GET /ProjectPortal_ERM/ HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:08:09 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:08:09 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:27:19 -0300] "GET /ProjectPortal_ERM/default.jsp HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:27:19 -0300] "GET /ProjectPortal_ERM/jquerys/JQLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:27:19 -0300] "GET /ProjectPortal_ERM/jquerys/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:27:19 -0300] "GET /ProjectPortal_ERM/Styles/ResetStyles.css HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:27:58 -0300] "GET /ProjectPortal_ERM/default.jsp HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [07/Oct/2016:17:27:58 -0300] "GET /ProjectPortal_ERM/Styles/ResetStyles.css HTTP/1.1" 200 149
